GEO.Id,GEO.Id2,CENSUS TRACTS,Total; Families,Percent below poverty level; Families,Total; families with children under 18 ,Percent below poverty level; families with children under 18 
1400000US36047025700,36047025700,257,380,31.1,175,41.7
1400000US36047025800,36047025800,258,1184,18.4,625,24
1400000US36047025901,36047025901,259.01,379,28.5,244,35.7
1400000US36047025902,36047025902,259.02,836,60.2,500,75.2
1400000US36047026000,36047026000,260,917,15.3,383,21.7
1400000US36047026100,36047026100,261,1060,21.5,677,28.8
1400000US36047026200,36047026200,262,567,12.7,250,22
1400000US36047026300,36047026300,263,463,16,281,10.7
1400000US36047026400,36047026400,264,1104,20.2,522,26.8
1400000US36047026500,36047026500,265,873,36.8,554,39.4
1400000US36047026600,36047026600,266,953,7.6,466,10.5
1400000US36047026700,36047026700,267,473,19,262,32.1
1400000US36047026800,36047026800,268,1022,11.5,534,11.6
1400000US36047026900,36047026900,269,616,3.1,284,3.5
1400000US36047027000,36047027000,270,576,16.3,206,16.5
1400000US36047027100,36047027100,271,636,21.2,324,34
1400000US36047027200,36047027200,272,786,11.1,417,15.8
1400000US36047027300,36047027300,273,650,23.8,465,27.1
1400000US36047027400,36047027400,274,702,14.7,392,12
1400000US36047027500,36047027500,275,939,20.3,507,30.2
1400000US36047027600,36047027600,276,882,18.4,501,25.9
1400000US36047027700,36047027700,277,952,34.5,596,48.2
1400000US36047027800,36047027800,278,710,16.1,334,26.9
1400000US36047027900,36047027900,279,878,8.2,340,14.1
1400000US36047028000,36047028000,280,400,5,147,4.1
1400000US36047028100,36047028100,281,1117,36.7,764,44.8
1400000US36047028200,36047028200,282,834,17.9,351,27.4
1400000US36047028300,36047028300,283,861,47.4,391,60.4
1400000US36047028400,36047028400,284,924,16,420,23.6
1400000US36047028501,36047028501,285.01,44,0,30,0
1400000US36047028502,36047028502,285.02,739,33,297,52.9
1400000US36047028600,36047028600,286,1181,10.9,443,11.1
1400000US36047028700,36047028700,287,533,41.5,346,45.7
1400000US36047028800,36047028800,288,634,21.5,242,36.4
1400000US36047028900,36047028900,289,763,35,516,43.6
1400000US36047029000,36047029000,290,937,14,299,24.1
1400000US36047029100,36047029100,291,562,19.8,383,25.1
1400000US36047029200,36047029200,292,630,19.5,253,24.1
1400000US36047029300,36047029300,293,670,23.6,446,24.2
1400000US36047029400,36047029400,294,402,8.7,124,16.1
1400000US36047029500,36047029500,295,869,14.2,503,18.7
1400000US36047029600,36047029600,296,1229,14.8,464,34.9
1400000US36047029700,36047029700,297,833,30.7,437,46.7
1400000US36047029800,36047029800,298,933,11.5,542,17.7
1400000US36047029900,36047029900,299,575,32.3,355,43.4
1400000US36047030000,36047030000,300,780,9.7,408,14.2
1400000US36047030100,36047030100,301,555,20.7,288,21.5
1400000US36047030200,36047030200,302,1156,15.9,438,15.1
1400000US36047030300,36047030300,303,1227,49.5,939,55.4
1400000US36047030400,36047030400,304,1018,14.5,423,21
1400000US36047030500,36047030500,305,924,18.3,619,24.1
1400000US36047030600,36047030600,306,523,18.7,280,32.5
1400000US36047030700,36047030700,307,1158,34.8,939,37.1
1400000US36047030800,36047030800,308,598,9.5,187,15.5
1400000US36047030900,36047030900,309,448,53.1,290,62.4
1400000US36047031100,36047031100,311,662,25.5,417,32.1
1400000US36047031300,36047031300,313,968,24.7,492,27
1400000US36047031400,36047031400,314,1140,5.7,415,11.8
1400000US36047031500,36047031500,315,895,23.2,462,39
1400000US36047031701,36047031701,317.01,717,25.8,326,46
1400000US36047031702,36047031702,317.02,760,28.3,442,39.4
1400000US36047031900,36047031900,319,865,17.3,400,35
1400000US36047032100,36047032100,321,1376,19.3,849,18.6
1400000US36047032300,36047032300,323,826,13.6,415,21.4
1400000US36047032500,36047032500,325,1371,31.2,733,44.3
1400000US36047032600,36047032600,326,1475,35.1,848,35.5
1400000US36047032700,36047032700,327,500,20.6,354,28.2
1400000US36047032800,36047032800,328,814,28,267,54.3
1400000US36047032900,36047032900,329,1410,12.1,748,19.1
1400000US36047033000,36047033000,330,1144,33.6,546,44.3
1400000US36047033100,36047033100,331,865,18.6,497,23.7
1400000US36047033300,36047033300,333,1051,18.8,654,21.6
1400000US36047033500,36047033500,335,591,17.9,357,24.1
