GEO.Id,GEO.Id2,CENSUS TRACTS,Total; Families,Percent below poverty level; Families,All families  with  children under 18 ,Percent below poverty level; All families with children under 18 
1400000US36047043000,36047043000,430,882,22.2,304,19.1
1400000US36047043100,36047043100,431,1219,40.3,901,49.2
1400000US36047043200,36047043200,432,929,20.1,567,26.6
1400000US36047043300,36047043300,433,978,30.4,634,31.4
1400000US36047043400,36047043400,434,936,12.9,401,23.4
1400000US36047043500,36047043500,435,1101,38,769,42.7
1400000US36047043600,36047043600,436,1091,27,605,35.9
1400000US36047043700,36047043700,437,1198,33.7,736,50.4
1400000US36047043800,36047043800,438,702,6.3,331,9.1
1400000US36047043900,36047043900,439,778,20.2,458,19.4
1400000US36047044000,36047044000,440,664,10.1,387,17.3
1400000US36047044100,36047044100,441,1407,28.1,966,33.3
1400000US36047044200,36047044200,442,635,11.7,328,19.5
1400000US36047044300,36047044300,443,1320,31.6,856,48
1400000US36047044400,36047044400,444,719,8.1,369,6.5
1400000US36047044500,36047044500,445,1143,16,589,22.4
1400000US36047044600,36047044600,446,437,5.7,163,15.3
1400000US36047044700,36047044700,447,490,17.1,202,5
1400000US36047044800,36047044800,448,385,7,179,5.6
1400000US36047044900,36047044900,449,725,31.2,364,26.1
1400000US36047045000,36047045000,450,202,4.5,82,0
1400000US36047045200,36047045200,452,660,8.3,279,14.3
1400000US36047045300,36047045300,453,340,25,204,41.7
1400000US36047045400,36047045400,454,382,10.2,154,17.5
1400000US36047045600,36047045600,456,637,18.1,283,17.3
1400000US36047045800,36047045800,458,298,3,139,0
1400000US36047046000,36047046000,460,883,12.1,371,13.7
1400000US36047046201,36047046201,462.01,581,34.8,177,38.4
1400000US36047046202,36047046202,462.02,426,12,208,15.4
1400000US36047046400,36047046400,464,636,27.2,430,40.2
1400000US36047046800,36047046800,468,325,25.5,227,36.6
1400000US36047047000,36047047000,470,690,24.2,417,28.8
1400000US36047047200,36047047200,472,676,25.9,404,36.4
1400000US36047047400,36047047400,474,634,18.9,319,33.5
1400000US36047047600,36047047600,476,685,20.6,379,33
1400000US36047047700,36047047700,477,380,8.4,77,41.6
1400000US36047047800,36047047800,478,905,44.9,623,56.8
1400000US36047048000,36047048000,480,743,21,491,30.8
1400000US36047048100,36047048100,481,350,11.1,160,5.6
1400000US36047048200,36047048200,482,1384,28.4,651,30.3
1400000US36047048400,36047048400,484,992,8,533,14.8
1400000US36047048500,36047048500,485,340,22.4,168,14.9
1400000US36047048600,36047048600,486,817,36.5,528,44.7
1400000US36047048800,36047048800,488,1036,26,588,34.2
1400000US36047048900,36047048900,489,987,50.5,662,56.2
1400000US36047049000,36047049000,490,1528,22.1,776,33.2
1400000US36047049100,36047049100,491,1357,19.2,658,29
1400000US36047049200,36047049200,492,674,13.6,315,19.4
1400000US36047049300,36047049300,493,1577,29.1,959,35.1
1400000US36047049400,36047049400,494,1256,11.8,642,9.8
1400000US36047049500,36047049500,495,434,14.1,176,23.9
